TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769390042;0.26798302;-0.08615484;1.0192142;4.53446;-3.916465;10.429125;43.78848491;4.831883793;7.5271015;0
1668769390052;0.79003745;-0.07273128;1.0692475;3.5544598;-5.806465;12.949125;43.78848491;4.831883793;7.5271015;0
1668769390062;0.05711114;-0.03172841;1.0999995;3.9744601;-2.341465;16.064125;43.78848491;4.831883793;7.5271015;0
1668769390073;0.47739053;0.047592618;0.9867535;3.9744601;-3.6714654;13.159125;43.78848491;4.831883793;7.5271015;0
1668769390083;0.09909027;0.037585963;1.1031725;2.95946;-1.7114649;11.584125;43.78848491;4.831883793;7.5271015;0
1668769390093;-0.22039042;-0.04832481;1.120257;1.87446;-2.586465;9.694125;43.78848491;4.831883793;7.5271015;0
1668769390103;-0.494231;0.04417571;1.0209227;2.8194602;0.318535;9.6241255;43.78848491;4.831883793;7.5271015;0
1668769390113;0.03563345;0.1542489;0.92598146;3.41446;-0.066465005;12.109125;43.78848491;4.831883793;7.5271015;0
1668769390123;0.068582185;0.12618145;0.8476367;1.73446;-1.956465;12.984125;43.78848491;4.831883793;7.5271015;0
1668769390133;0.50985116;0.16425554;0.8622806;0.29946002;-0.94146496;15.644127;43.78848491;4.831883793;7.5271015;0
1668769390143;0.8268912;0.03124028;0.86520934;-0.29554;-1.256465;13.614125;43.78848491;4.831883793;7.5271015;0
1668769390153;0.90694445;0.25724417;0.7558684;0.50946;-0.206465;15.329125;43.78848491;4.831883793;7.5271015;0
1668769390163;0.018792981;0.14228973;0.80321693;-3.86554;0.56353503;14.419126;43.78848491;4.831883793;7.5271015;0
1668769390173;-0.2655424;0.06345682;1.188351;-4.04054;-2.621465;17.464127;43.78848491;4.831883793;7.5271015;0
1668769390184;0.5413355;0.13521186;0.894009;-2.7805402;1.9285351;15.994126;43.78848491;4.831883793;7.5271015;0
1668769390193;0.3160638;-0.24382064;0.88985986;-4.21554;0.843535;15.084125;43.78848491;4.831883793;7.5271015;0
1668769390203;0.4515197;0.17743504;0.86057216;-1.24054;2.313535;13.474125;43.78848491;4.831883793;7.5271015;0
